,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
56,,Central African Republic,Central African Republic,23,5,85.63536
57,,Chad,Chad,77,6,0
58,,Chile,Chile,1613,92,28.00657
59,,China,China2,127191,93,19.75491
60,,"China, Hong Kong Special Administrative Region","China, Hong Kong Special Administrative Region3",585,82,0
61,,"China, Macao Special Administrative Region","China, Macao Special Administrative Region4",47,83,0
62,,Colombia,Colombia,1513,32,63.00284
63,,Comoros,Comoros,5,7,11.62791
64,,Congo,Congo,102,23,57.74887
65,,Cook Islands,Cook Islands,1,48,0
66,,Costa Rica,Costa Rica,222,47,88.73642
67,,Côte d'Ivoire,Côte d'Ivoire,547,25,22.82278
68,,Croatia,Croatia,321,75,64.28412
69,,Cuba,Cuba,585,51,0.663532
70,,Curaçao,Curaçao,78,502,0
71,,Cyprus,Cyprus,82,71,6.480186
72,,Czech Republic,Czech Republic,1751,166,7.067134
73,,Democratic People's Republic of Korea,Democratic People's Republic of Korea,612,25,70.18029
74,,Democratic Republic of the Congo,Democratic Republic of the Congo,888,12,99.5943
75,,Denmark,Denmark5,725,129,33.53766
76,,Djibouti,Djibouti,11,13,0
77,,Dominica,Dominica,2,28,36.63366
78,,Dominican Republic,Dominican Republic,339,33,11.2506
79,,Ecuador,Ecuador,680,43,47.71486
80,,Egypt,Egypt,3422,39,8.805713
81,,El Salvador,El Salvador,176,29,56.44505
82,,Equatorial Guinea,Equatorial Guinea,73,91,6.363636
83,,Eritrea,Eritrea,34,7,0.550964
84,,Estonia,Estonia,258,195,4.180791
85,,Ethiopia,Ethiopia,1394,15,99.90825
86,,Faeroe Islands,Faeroe Islands,9,179,38.56655
87,,Falkland Islands (Malvinas),Falkland Islands (Malvinas),1,258,33.33333
88,,Fiji,Fiji,31,36,62.00466
89,,Finland,Finland,1374,252,19.53657
90,,France,France6,10597,166,17.02028
91,,French Guiana,French Guiana,13,52,62.00466
92,,French Polynesia,French Polynesia,12,44,26.8556
93,,Gabon,Gabon,99,60,37.5
94,,Gambia,Gambia,14,7,0
95,,Georgia,Georgia,163,40,82.22487
96,,Germany,Germany,13261,165,17.90153
97,,Ghana,Ghana,316,12,63.10263
98,,Gibraltar,Gibraltar,8,245,0
99,,Greece,Greece,993,90,24.79528
100,,Greenland,Greenland7,9,166,78.125
101,,Grenada,Grenada,5,43,0
102,,Guadeloupe,Guadeloupe,33,70,14.81481
103,,Guam,Guam,...,...,0
104,,Guatemala,Guatemala,452,29,49.52168
105,,Guernsey,Guernsey,0,6,0
106,,Guinea,Guinea,145,12,48.44221
107,,Guinea-Bissau,Guinea-Bissau,29,17,0
108,,Guyana,Guyana,34,45,0
109,,Haiti,Haiti,172,16,12.76018
110,,Honduras,Honduras,217,28,37.76319
111,,Hungary,Hungary,947,95,3.263634
112,,Iceland,Iceland,312,957,99.9724
113,,India,India,33195,26,14.96908
114,,Indonesia,Indonesia8,8754,35,12.18904
115,,Iran (Islamic Republic of),Iran (Islamic Republic of),9172,119,5.707721
116,,Iraq,Iraq,2077,61,7.871554
117,,Ireland,Ireland,548,117,20.92106
118,,Isle of Man,Isle of Man,0,4,0.793651
119,,Israel,Israel,997,128,0.872525
120,,Italy,Italy9,6530,109,33.66723
121,,Jamaica,Jamaica,108,39,5.615602
122,,Japan,Japan10,18984,149,10.23282
123,,Jersey,Jersey,3,34,0
124,,Jordan,Jordan,325,45,0.335979
125,,Kazakhstan,Kazakhstan,3548,208,8.112784
126,,Kenya,Kenya,873,20,73.7571
127,,Kiribati,Kiribati,1,8,0
128,,Kuwait,Kuwait11,1475,410,0
129,,Kyrgyzstan,Kyrgyzstan,167,29,93.47655
130,,Lao People's Democratic Republic,Lao People's Democratic Republic,85,13,93.29009
131,,Latvia,Latvia,183,91,48.83234
132,,Lebanon,Lebanon,289,55,6.610478
133,,Lesotho,Lesotho,48,23,100
134,,Liberia,Liberia,83,19,0
135,,Libya,Libya,707,113,0
136,,Liechtenstein,Liechtenstein,3,79,96.47059
137,,Lithuania,Lithuania,282,95,41.03318
138,,Luxembourg,Luxembourg,168,307,45.53324
139,,Madagascar,Madagascar,166,7,50.81556
140,,Malawi,Malawi,101,6,89.13565
141,,Malaysia,Malaysia,3417,116,7.754589
142,,Maldives,Maldives,15,43,0
143,,Mali,Mali,66,4,64.76821
144,,Malta,Malta,31,75,1.419698
145,,Marshall Islands,Marshall Islands,1,28,0
146,,Martinique,Martinique,33,84,2.60771
147,,Mauritania,Mauritania,51,13,0
148,,Mauritius,Mauritius,58,46,3.531856
149,,Mexico,Mexico,7944,64,12.9134
150,,Micronesia (Federated States of),Micronesia (Federated States of),2,21,2.941176
151,,Mongolia,Mongolia,475,166,0
152,,Montenegro,Montenegro,42,67,65.58152
153,,Montserrat,Montserrat,1,153,0
154,,Morocco,Morocco,796,23,15.8918
155,,Mozambique,Mozambique,469,18,94.63087
156,,Myanmar,Myanmar,682,13,72.04213
157,,Namibia,Namibia,63,27,95.79439
158,,Nauru,Nauru,1,60,0
159,,Nepal,Nepal,458,16,99.68051
160,,Netherlands,Netherlands12,3199,190,6.324659
161,,New Caledonia,New Caledonia,51,200,20.43097
162,,New Zealand,New Zealand,876,196,72.87313
163,,Nicaragua,Nicaragua,149,25,40.76387
164,,Niger,Niger,87,5,0
165,,Nigeria,Nigeria,5589,32,18.39025
166,,Niue,Niue,0,65,0
167,,Northern Mariana Islands,Northern Mariana Islands,...,...,0
168,,Norway,Norway,1388,273,97.63558
169,,Oman,Oman,1015,260,0
170,,Pakistan,Pakistan,2868,16,31.87684
171,,Palau,Palau,3,152,18.75
172,,Panama,Panama,158,42,57.50948
173,,Papua New Guinea,Papua New Guinea,144,20,23.94636
174,,Paraguay,Paraguay,228,35,99.99503
175,,Peru,Peru,858,28,51.96861
176,,Philippines,Philippines,1781,18,26.17264
177,,Poland,Poland,4121,107,5.537899
178,,Portugal,Portugal13,899,86,53.3403
179,,Puerto Rico,Puerto Rico,56,15,1.080808
180,,Qatar,Qatar,1396,664,0
181,,Republic of Korea,Republic of Korea,11007,221,2.279353
182,,Republic of Moldova,Republic of Moldova,93,23,5.082873
183,,Réunion,Réunion,59,70,28.29719
184,,Romania,Romania,1339,68,34.3845
185,,Russian Federation,Russian Federation,30709,214,17.28868
186,,Rwanda,Rwanda,95,9,35.83535
187,,Saint Helena,Saint Helena,0,40,9.090909
188,,Saint Kitts and Nevis,Saint Kitts and Nevis,4,73,0
189,,Saint Lucia,Saint Lucia,6,33,0
190,,Saint Pierre and Miquelon,Saint Pierre and Miquelon,1,162,2.12766
191,,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,3,28,16.66667
192,,Samoa,Samoa,4,22,31.35593
193,,Sao Tome and Principe,Sao Tome and Principe,3,14,10.44776
194,,Saudi Arabia,Saudi Arabia14,7985,264,0.000352
195,,Senegal,Senegal,154,11,1.998237
196,,Serbia,Serbia15,618,69,27.21619
197,,Seychelles,Seychelles,9,94,1.977401
198,,Sierra Leone,Sierra Leone,67,11,64.02439
199,,Singapore,Singapore,1120,207,0
200,,Sint Maarten (Dutch part),Sint Maarten (Dutch part),12,327,0
201,,Slovakia,Slovakia,711,131,20.21712
202,,Slovenia,Slovenia,287,139,31.86424
203,,Solomon Islands,Solomon Islands,6,11,0
204,,Somalia,Somalia,126,12,0
205,,South Africa,South Africa,6341,119,1.687019
206,,South Sudan,South Sudan,28,2,0.423729
207,,Spain,Spain16,4923,106,37.96859
208,,Sri Lanka,Sri Lanka,388,19,59.57323
209,,State of Palestine,State of Palestine,61,14,0
210,,Sudan,Sudan,608,16,78.41048
211,,Suriname,Suriname,34,65,22.02381
212,,Swaziland,Swaziland,49,39,40.67797
213,,Sweden,Sweden,2044,212,46.59846
214,,Switzerland,Switzerland17,1113,136,57.74548
215,,Syrian Arab Republic,Syrian Arab Republic,542,28,11.56827
216,,Tajikistan,Tajikistan,106,13,99.74292
217,,Thailand,Thailand,5336,79,4.305189
218,,The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia,117,56,26.14047
219,,Timor-Leste,Timor-Leste,7,6,0
220,,Togo,Togo,134,19,80.18018
221,,Tonga,Tonga,3,28,0
222,,Trinidad and Tobago,Trinidad and Tobago,824,611,0
223,,Tunisia,Tunisia,430,39,3.492547
224,,Turkey,Turkey,4897,64,28.53669
225,,Turkmenistan,Turkmenistan,1102,210,0
226,,Turks and Caicos Islands,Turks and Caicos Islands,3,85,0
227,,Tuvalu,Tuvalu,...,...,0
228,,Uganda,Uganda,452,12,68.01818
229,,Ukraine,Ukraine18,4844,107,8.067312
230,,United Arab Emirates,United Arab Emirates,2710,300,0
231,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland19,7920,124,10.60047
232,,United Republic of Tanzania,United Republic of Tanzania,994,20,31.07284
233,,United States of America,United States of America20,90838,286,11.57098
234,,United States Virgin Islands,United States Virgin Islands,...,...,0
235,,Uruguay,Uruguay,196,58,71.60504
236,,Uzbekistan,Uzbekistan,1798,62,21.32841
237,,Vanuatu,Vanuatu,3,10,14.70588
238,,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),2871,95,67.83452
239,,Viet Nam,Viet Nam,2554,28,45.32152
240,,Wallis and Futuna Islands,Wallis and Futuna Islands,0,26,0
241,,Yemen,Yemen,344,13,0
242,,Zambia,Zambia,400,26,99.71467
243,,Zimbabwe,Zimbabwe,480,32,52.53612
244,,,,,,
245,,,,,,
246,,Sources:,,,,
247,,UNSD Energy Statistics Yearbook.,,,,
248,,See: http://unstats.un.org/unsd/energy/yearbook/default.htm,,,,
249,,,,,,
250,,Footnotes:,,,,
251,,1,Excludes the overseas territories.,,,
252,,2,Data exclude Hong Kong and Macao Special Administrative Regions (Hong Kong SAR and Macao SAR) and Taiwan Province.,,,
253,,3,Data on kerosene-type jet fuel include aviation gasoline and other kerosene.,,,
254,,4,"For confidentiality reasons, data on coal and coal products, jet fuel, petroleum coke and other petroleum products (2009-2012), stock changes of other kerosene (2010-12), exports of charcoal (2009-2012), and data on fuelwood (2010-2012) are not available.",,,
255,,5,Data exclude Greenland and the Danish Faroes.,,,
256,,6,"Data include Monaco, and exclude the following overseas departments and territories: Guadeloupe, Guyana, Martinique, New Caledonia, French Polynesia, Reunion, and St. Pierre and Miquelon.",,,
257,,7,Data for kerosene-type jet fuel include other kerosene.,,,
258,,8,Data include Timor-Leste until 2001.,,,
259,,9,Data include San Marino and the Holy See. ,,,
260,,10,Data include Okinawa.,,,
261,,11,The data for crude oil production include 50 per cent of the output of the Neutral Zone. ,,,
262,,12,Data exclude Suriname and the Netherlands Antilles.,,,
263,,13,Data include the Azores and Madeira.,,,
264,,14,Data for crude oil production include 50 per cent of the output of the Neutral Zone.,,,
265,,15,Data exclude Kosovo from 2000 onwards.,,,
266,,16,Data include the Canary Islands.,,,
267,,17,Data include Liechtenstein for oil statistics.,,,
268,,18,"For confidentiality reasons, data on the following products (mainly on production) may not be available or may be included with other products: lignite (included with peat), patent fuel (included with peat briquettes), aviation gasoline, kerosene-type jet fuel, other kerosene, petroleum coke, paraffin waxes and white spirit (the latter three included with other oil products).",,,
269,,19,"Shipments of coal and oil to Jersey, Guernsey and the Isle of Man from the United Kingdom are not classed as exports. Supplies of coal and oil to these islands are, therefore, included as part of UK supply. Exports of natural gas to the Isle of Man are included with the exports to Ireland. ",,,
270,,20,"Includes the 50 states and the District of Columbia. Oil statistics as well as coal trade statistics also include Puerto Rico, Guam, the U.S. Virgin Islands, American Samoa, Johnston Atoll, Midway Islands, Wake Island and the Northern Mariana Islands. ",,,
271,,,,,,
272,,Definitions & Technical notes:,,,,
273,,The data on energy supply and renewable electricity production were compiled by the UNSD Energy Statistics Section for the Energy Statistics Yearbook. For more detailed information on these and other energy supply and production indicators please refer to the publication.,,,,
274,,Energy supply is defined as energy production plus imports minus exports minus international marine bunkers minus international aviation bunkers minus stock changes. ,,,,
275,,"Electricity production refers to gross production, which is the sum of the electrical energy production by all the generating units/installations concerned (including pumped storage) measured at the output terminals of the main generators.",,,,
276,,"Renewable electricity production (%) refers to the proportion of total electricity produced that comes from a renewable origin. Electricity production refers to gross electricity production, which is the sum of the electrical energy production by all the generating units/installations concerned (including pumped storage) measured at the output terminals of the main generators. This includes the consumption by station auxiliaries and any losses in the transformers that are considered integral parts of the station. Renewable electricity production was calculated as the sum of electricity produced from hydro, geothermal, solar, wind, tide, wave and ocean sources. All electricity production from combustible fuels is considered non-renewable; therefore electricity produced from burning biomass or renewable waste is not included as renewable electricity in this table. However, this has been observed to be a relatively negligible proportion of electricity production in most cases.",,,,
277,,… denotes no data available.,,,,
278,,,,,,
279,,Data Quality: ,,,,
280,,"The data are compiled primarily from the annual energy questionnaire distributed by the United Nations Statistics Division and supplemented by official national statistical publications, as well as publications from international and regional organizations. Where official data are not available or are inconsistent, estimates are made by the Statistics Division based on governmental, professional or commercial materials. Estimates include, but are not limited to, extrapolated data based on partial year information, use of annual trends, trade data based on partner country reports, breakdowns of aggregated data and analysis of current energy events.",,,,
281,,"For more information, visit http://unstats.un.org/unsd/energy/yearbook/default.htm.",,,,
